RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
About to Sleep,Zero,medium,Gradual Growth,Rapid Expansion,Breakout Voice Builder,Gradual customer suddenly accelerating,Future Opportunity,Aggressive Win-Back,Breakout voice medium,,,,
About to Sleep,Zero,medium,Gradual Growth,no_trend,Stable Voice Builder,Steady voice customer improving,Nurture Opportunity,Nurture,Builder support medium,,,,
About to Sleep,Zero,medium,Rapid Expansion,Declining,Rapid Voice Growth at Risk,Fast growth with warning signals,Retention Priority,Retention,Expansion shield medium,,,,
About to Sleep,Zero,medium,Rapid Expansion,Dormant,Boom-to-Dormant Voice User,Rapid growth followed by inactivity,Drop-Off Risk,Activation,Reignite medium voice,,,,
About to Sleep,Zero,medium,Rapid Expansion,Early Recovery,Rapid Voice Recovery Engine,Fast reactivation with support,High Opportunity,Upsell,Voice turbo medium,,,,
About to Sleep,Zero,medium,Rapid Expansion,Strong Growth,Power Voice Return,Exceptional voice comeback,Elite Recovery Segment,Maximum Growth,Power voice medium,,,,
About to Sleep,Zero,medium,Rapid Expansion,Gradual Growth,Sustained Voice Momentum,Rapid growth stabilizing,Future Loyal Voice,Loyalty Growth,Sustain medium voice,,,,
About to Sleep,Zero,medium,Rapid Expansion,Rapid Expansion,Complete Medium Voice Rebirth,Maximum transformation from weak state,Top Revival Segment,User Maximization,Voice rebirth medium,,,,
About to Sleep,Zero,medium,Rapid Expansion,no_trend,Stable Voice Expansion,Rapid growth stabilized,Retention Opportunity,Loyalty Growth,Expansion lock medium,,,,
About to Sleep,Zero,medium,no_trend,Declining,Stable Medium Voice Weakening,Stable customer weakening,Retention Risk,Retention,Reminder medium voice,,,,
About to Sleep,Zero,medium,no_trend,Dormant,Stable Dormant Medium Voice User,Stable but slipping inactive,Dormant Risk,Activation,Wake medium,,,,
About to Sleep,Zero,medium,no_trend,Early Recovery,Stable Voice Recovery Spark,Stable user beginning comeback,Recovery Potential,Nurture,Starter medium voice,,,,
About to Sleep,Zero,medium,no_trend,Strong Growth,Stable to Strong Voice Growth,Stable base entering strong growth,Growth Opportunity,Upsell,Voice booster medium,,,,
About to Sleep,Zero,medium,no_trend,Gradual Growth,Stable Gradual Voice Return,Slow but healthy improvement,Growth Potential,Nurture,Gradual medium path,,,,
About to Sleep,Zero,medium,no_trend,Rapid Expansion,Stable Voice Breakout,Stable customer rapidly accelerating,Emerging Opportunity,Aggressive Win-Back,Breakout medium voice,,,,
About to Sleep,Zero,medium,no_trend,no_trend,Consistent Medium Voice User,Medium voice-only customer stable but disengaged,Base Retention,Retention,Medium voice nurture,,,,
About to Sleep,Zero,high,Declining,Declining,High Voice User in Sharp Decline,High voice-only customer rapidly losing engagement,Critical Churn Risk,Retention,Priority voice save,,,,
About to Sleep,Zero,high,Declining,Dormant,Fading High Voice User,High-value voice customer slipping inactive,Imminent Dormancy,Activation,Voice rescue premium,,,,
About to Sleep,Zero,high,Declining,Early Recovery,Early High Voice Recovery,Declining user showing first comeback signs,Recovery Opportunity,Nurture,Recovery starter high,,,,
About to Sleep,Zero,high,Declining,Strong Growth,High Voice Revival,Strong voice rebound from decline,Growth Opportunity,Upsell,Voice comeback boost,,,,
About to Sleep,Zero,high,Declining,Gradual Growth,Slow High Voice Rebound,Gradual recovery from weakening,Nurture Potential,Nurture,Voice rebuild high,,,,
About to Sleep,Zero,high,Declining,Rapid Expansion,Rapid High Voice Return,Sudden surge in voice reactivation,Emerging Opportunity,Aggressive Win-Back,Voice turbo relaunch,,,,
About to Sleep,Zero,high,Declining,no_trend,Stable High Voice Decline,Strong voice user weakening steadily,Retention Risk,Retention,Voice decline protection,,,,
About to Sleep,Zero,high,Dormant,Declining,Dormant High Voice Collapse,High voice user becoming severely inactive,Severe Churn Risk,Activation,Dormant voice emergency,,,,
About to Sleep,Zero,high,Dormant,Dormant,Fully Dormant High Voice User,Previously high-value voice user inactive,Maximum Dormancy,Win-Back,Wake premium voice,,,,
About to Sleep,Zero,high,Dormant,Early Recovery,Dormant High Voice Recovery,Inactive premium voice user returning,Recovery Potential,Nurture,Voice wake premium,,,,
About to Sleep,Zero,high,Dormant,Strong Growth,Strong Dormant Voice Comeback,High voice customer aggressively re-engaging,High Recovery Opportunity,Upsell,Voice comeback elite,,,,
About to Sleep,Zero,high,Dormant,Gradual Growth,Gradual Premium Voice Recovery,Slow premium voice recovery,Recovery Potential,Nurture,Voice nurture high,,,,
About to Sleep,Zero,high,Dormant,Rapid Expansion,Explosive Premium Voice Return,Rapid comeback from dormancy,Future Growth User,Aggressive Win-Back,Voice relaunch max,,,,
About to Sleep,Zero,high,Dormant,no_trend,Stable Dormant High Voice User,Inactive but premium voice segment,Dormant Risk,Activation,High voice reactivation,,,,
About to Sleep,Zero,high,Early Recovery,Declining,Recovery Under Pressure,Recovery signs with weakening behavior,Fragile Recovery,Retention,Recovery shield high,,,,
About to Sleep,Zero,high,Early Recovery,Dormant,Mixed Premium Voice Recovery,Recovery mixed with inactivity,Mixed Segment,Nurture,Cross-service voice restore,,,,
About to Sleep,Zero,high,Early Recovery,Early Recovery,Balanced High Voice Recovery,Both patterns showing comeback,Recovering User,Nurture,Voice welcome premium,,,,
About to Sleep,Zero,high,Early Recovery,Strong Growth,Accelerated Voice Recovery,Recovery rapidly strengthening,Growth Opportunity,Upsell,Voice accelerator high,,,,
About to Sleep,Zero,high,Early Recovery,Gradual Growth,Steady Premium Voice Return,Healthy premium recovery,Growth Potential,Nurture,Steady premium ladder,,,,
About to Sleep,Zero,high,Early Recovery,Rapid Expansion,Fast High Voice Comeback,Rapid re-engagement from recovery,Emerging User,Aggressive Win-Back,Fast-track premium voice,,,,
About to Sleep,Zero,high,Early Recovery,no_trend,Stable Premium Voice Recovery,Recovered and stabilizing,Recovery Opportunity,Nurture,Recovery lock high,,,,
About to Sleep,Zero,high,Strong Growth,Declining,Strong Voice Momentum at Risk,Strong comeback with warning signs,Retention Priority,Retention,Momentum shield high,,,,
About to Sleep,Zero,high,Strong Growth,Dormant,Interrupted Premium Voice Momentum,High voice growth interrupted,Recovery Risk,Activation,Restart premium voice,,,,
About to Sleep,Zero,high,Strong Growth,Early Recovery,Voice Growth Builder Premium,Strong growth backed by recovery,Emerging User,Upsell,Premium growth builder,,,,
About to Sleep,Zero,high,Strong Growth,Strong Growth,Full High Voice Transformation,Strongest premium voice revival,High Potential Segment,User Growth,Voice transformation elite,,,,
About to Sleep,Zero,high,Strong Growth,Gradual Growth,Sustainable Premium Voice Expansion,Strong growth stabilizing,Future Loyal User,Loyalty Growth,Voice sustain premium,,,,
About to Sleep,Zero,high,Strong Growth,Rapid Expansion,Explosive High Voice Growth,Massive premium voice-led expansion,Top Recovery Opportunity,Maximum Growth,Voice infinity elite,,,,
About to Sleep,Zero,high,Strong Growth,no_trend,Stable Strong Voice Growth,Strong comeback stabilized,Growth Opportunity,Loyalty Growth,Voice lock premium,,,,
About to Sleep,Zero,high,Gradual Growth,Declining,Slow Premium Voice Builder Risk,Gradual progress with decline risk,Retention Risk,Retention,Builder shield premium,,,,
About to Sleep,Zero,high,Gradual Growth,Dormant,Gradual Voice Stall Premium,Slow growth interrupted,Dormant Risk,Activation,Restart nurture premium,,,,
About to Sleep,Zero,high,Gradual Growth,Early Recovery,Healthy Premium Voice Builder,Gradual growth supported by recovery,Recovery Potential,Nurture,Premium builder nurture,,,,
About to Sleep,Zero,high,Gradual Growth,Strong Growth,Accelerating Premium Voice Builder,Gradual user entering strong growth,Growth Opportunity,Upsell,Builder acceleration premium,,,,
About to Sleep,Zero,high,Gradual Growth,Gradual Growth,Consistent Premium Voice Builder,Steady balanced premium growth,Growth Potential,Loyalty Growth,Consistency premium,,,,
About to Sleep,Zero,high,Gradual Growth,Rapid Expansion,Breakout Premium Voice Builder,Gradual customer suddenly accelerating,Future Opportunity,Aggressive Win-Back,Breakout premium voice,,,,
About to Sleep,Zero,high,Gradual Growth,no_trend,Stable Premium Voice Builder,Steady high voice improvement,Nurture Opportunity,Nurture,Builder support premium,,,,
About to Sleep,Zero,high,Rapid Expansion,Declining,Rapid Premium Voice Growth at Risk,Fast growth with warning,Retention Priority,Retention,Expansion shield premium,,,,
About to Sleep,Zero,high,Rapid Expansion,Dormant,Boom-to-Dormant Premium Voice User,Rapid growth followed by inactivity,Drop-Off Risk,Activation,Reignite premium voice,,,,
About to Sleep,Zero,high,Rapid Expansion,Early Recovery,Rapid Premium Voice Recovery Engine,Fast reactivation with support,High Opportunity,Upsell,Voice turbo premium,,,,
About to Sleep,Zero,high,Rapid Expansion,Strong Growth,Power Premium Voice Return,Exceptional voice comeback,Elite Recovery Segment,Maximum Growth,Power voice elite,,,,
About to Sleep,Zero,high,Rapid Expansion,Gradual Growth,Sustained Premium Voice Momentum,Rapid growth stabilizing,Future Loyal Voice,Loyalty Growth,Sustain premium voice,,,,
About to Sleep,Zero,high,Rapid Expansion,Rapid Expansion,Complete Premium Voice Rebirth,Maximum transformation from weak state,Top Revival Segment,User Maximization,Voice rebirth elite,,,,
About to Sleep,Zero,high,Rapid Expansion,no_trend,Stable Premium Voice Expansion,Rapid growth stabilized,Retention Opportunity,Loyalty Growth,Expansion lock premium,,,,
About to Sleep,Zero,high,no_trend,Declining,Stable High Voice Weakening,Stable premium user weakening,Retention Risk,Retention,Reminder premium voice,,,,
About to Sleep,Zero,high,no_trend,Dormant,Stable Dormant High Voice User,Stable but slipping inactive,Dormant Risk,Activation,Wake premium,,,,
About to Sleep,Zero,high,no_trend,Early Recovery,Stable Premium Voice Recovery Spark,Stable user beginning comeback,Recovery Potential,Nurture,Starter premium voice,,,,
About to Sleep,Zero,high,no_trend,Strong Growth,Stable to Strong Premium Voice Growth,Stable base entering strong growth,Growth Opportunity,Upsell,Voice booster premium,,,,
About to Sleep,Zero,high,no_trend,Gradual Growth,Stable Gradual Premium Voice Return,Slow but healthy premium improvement,Growth Potential,Nurture,Gradual premium path,,,,
About to Sleep,Zero,high,no_trend,Rapid Expansion,Stable Premium Voice Breakout,Stable customer rapidly accelerating,Emerging Opportunity,Aggressive Win-Back,Breakout premium voice,,,,
About to Sleep,Zero,high,no_trend,no_trend,Consistent High Voice User,High voice-only customer stable but disengaged,Base Retention,Retention,Premium voice nurture,,,,
About to Sleep,Zero,very_high,Declining,Declining,Ultra Voice Power User Collapse,Very high voice-only customer sharply disengaging,Extreme Churn Risk,Critical Retention,VIP voice rescue,,,,
About to Sleep,Zero,very_high,Declining,Dormant,Fading Ultra Voice Loyalist,Top-tier voice user becoming inactive,Critical Dormancy,Win-Back,Elite voice reactivation,,,,
About to Sleep,Zero,very_high,Declining,Early Recovery,Early Ultra Voice Revival,Heavy voice user showing first return signs,Recovery Potential,Nurture,VIP comeback starter,,,,
About to Sleep,Zero,very_high,Declining,Strong Growth,Power Voice Recovery Surge,Strong rebound from declining premium voice base,High Growth Opportunity,Upsell,Elite voice comeback,,,,
About to Sleep,Zero,very_high,Declining,Gradual Growth,Slow Ultra Voice Rebuild,Gradual return from decline,Recovery Opportunity,Nurture,Premium rebuild plan,,,,
About to Sleep,Zero,very_high,Declining,Rapid Expansion,Explosive Ultra Voice Return,Sudden major comeback from decline,Top Recovery Potential,Aggressive Win-Back,Turbo voice relaunch,,,,
About to Sleep,Zero,very_high,Declining,no_trend,Stable Ultra Voice Decline,Heavy voice user steadily weakening,Retention Threat,Retention,Voice shield max,,,,
About to Sleep,Zero,very_high,Dormant,Declining,Ultra Voice Shutdown,Very high-value voice user nearing total inactivity,Severe Churn Threat,Critical Activation,Emergency voice wake,,,,
About to Sleep,Zero,very_high,Dormant,Dormant,Fully Dormant Ultra Voice User,Top-tier voice customer fully inactive,Maximum Churn,Win-Back,VIP wake-up campaign,,,,
About to Sleep,Zero,very_high,Dormant,Early Recovery,Ultra Voice Reactivation,Inactive premium user returning,Recovery Segment,Nurture,Elite voice return,,,,
About to Sleep,Zero,very_high,Dormant,Strong Growth,Strong VIP Voice Comeback,Major re-engagement from dormancy,High-Value Recovery,Upsell,Premium voice relaunch,,,,
About to Sleep,Zero,very_high,Dormant,Gradual Growth,Gradual VIP Voice Return,Slow but promising return from dormancy,Recovery Potential,Nurture,Elite nurture voice,,,,
About to Sleep,Zero,very_high,Dormant,Rapid Expansion,Explosive VIP Voice Return,Rapid large-scale comeback,Elite Opportunity,Aggressive Win-Back,Max voice recovery,,,,
About to Sleep,Zero,very_high,Dormant,no_trend,Stable Dormant Ultra Voice User,Inactive but premium-tier voice user,Dormant Risk,Activation,VIP dormant restore,,,,
About to Sleep,Zero,very_high,Early Recovery,Declining,Fragile VIP Recovery,Recovery signs but decline risk remains,Recovery Risk,Retention,Protect voice recovery,,,,
About to Sleep,Zero,very_high,Early Recovery,Dormant,Mixed VIP Voice Recovery,Recovery mixed with inactivity instability,Mixed Opportunity,Nurture,Cross-service premium restore,,,,
About to Sleep,Zero,very_high,Early Recovery,Early Recovery,Balanced VIP Voice Recovery,Strong premium voice user steadily recovering,Recovery Opportunity,Nurture,Elite recovery nurture,,,,
About to Sleep,Zero,very_high,Early Recovery,Strong Growth,Accelerated VIP Voice Recovery,Fast recovery with major voice strength,Growth Opportunity,Upsell,Voice accelerator elite,,,,
About to Sleep,Zero,very_high,Early Recovery,Gradual Growth,Steady VIP Voice Comeback,Healthy recovery pattern,Growth Potential,Nurture,Steady premium ladder,,,,
About to Sleep,Zero,very_high,Early Recovery,Rapid Expansion,Fast VIP Voice Rebirth,Rapid recovery and expansion,Elite Growth Path,Aggressive Win-Back,Voice fast-track elite,,,,
About to Sleep,Zero,very_high,Early Recovery,no_trend,Stable VIP Voice Recovery,Recovered and stabilized,Retention Opportunity,Loyalty Growth,Recovery lock elite,,,,
About to Sleep,Zero,very_high,Strong Growth,Declining,Power Voice Momentum Risk,Massive comeback with warning signs,Retention Threat,Retention,Elite momentum protect,,,,
About to Sleep,Zero,very_high,Strong Growth,Dormant,Interrupted VIP Voice Surge,Strong growth interrupted by inactivity,Recovery Risk,Activation,Restart elite voice,,,,
About to Sleep,Zero,very_high,Strong Growth,Early Recovery,Premium Voice Surge Builder,Strong growth backed by recovery,Emerging VIP User,Upsell,Voice growth premium,,,,
About to Sleep,Zero,very_high,Strong Growth,Strong Growth,Complete VIP Voice Transformation,Highest-value voice customer fully rebounding,Top Growth Segment,User Maximization,Elite transformation max,,,,
About to Sleep,Zero,very_high,Strong Growth,Gradual Growth,Sustainable VIP Voice Dominance,Strong growth stabilizing into loyalty,Loyalty Opportunity,Loyalty Growth,Sustain elite voice,,,,
About to Sleep,Zero,very_high,Strong Growth,Rapid Expansion,Explosive VIP Voice Dominance,Extreme growth across voice behavior,Maximum Opportunity,Premium Monetization,Voice infinity max,,,,
